state_run1,LnL_run1,state_run2,LnL_run2
2000000,-5875.433,2000000,-5878.219
2001000,-5881.487,2001000,-5874.079
2002000,-5876.274,2002000,-5876.784
2003000,-5871.695,2003000,-5882.025
2004000,-5876.869,2004000,-5870.435
2005000,-5877.771,2005000,-5869.691
2006000,-5880.333,2006000,-5875.609
2007000,-5872.769,2007000,-5874.354
2008000,-5871.682,2008000,-5872.086
2009000,-5871.238,2009000,-5872.651
2010000,-5873.221,2010000,-5875.517
2011000,-5878.401,2011000,-5879.566
2012000,-5873.944,2012000,-5873.104
2013000,-5883.973,2013000,-5874.318
2014000,-5874.681,2014000,-5877.461
2015000,-5872.749,2015000,-5875.697
2016000,-5875.524,2016000,-5877.059
2017000,-5875.799,2017000,-5871.695
2018000,-5871.622,2018000,-5868.331
2019000,-5877.377,2019000,-5875.228
2020000,-5871.024,2020000,-5877.348
2021000,-5879.999,2021000,-5872.254
2022000,-5876.088,2022000,-5870.614
2023000,-5872.741,2023000,-5874.84
2024000,-5875.748,2024000,-5875
2025000,-5878.303,2025000,-5874.491
2026000,-5877.228,2026000,-5875.07
2027000,-5872.872,2027000,-5874.608
2028000,-5878.17,2028000,-5872.11
2029000,-5873.378,2029000,-5871.869
2030000,-5875.626,2030000,-5876.599
2031000,-5875.029,2031000,-5873.535
2032000,-5876.292,2032000,-5879.458
2033000,-5871.352,2033000,-5870.457
2034000,-5874.106,2034000,-5870.739
2035000,-5873.615,2035000,-5873.791
2036000,-5875.911,2036000,-5874.712
2037000,-5872.604,2037000,-5870.459
2038000,-5871.728,2038000,-5876.582
2039000,-5873.115,2039000,-5876.105
2040000,-5879.713,2040000,-5877.649
2041000,-5874.853,2041000,-5876.235
2042000,-5881.263,2042000,-5878.945
2043000,-5879.815,2043000,-5874.952
2044000,-5876.225,2044000,-5873.4
2045000,-5875.953,2045000,-5873.406
2046000,-5875.012,2046000,-5875.235
2047000,-5870.623,2047000,-5877.354
2048000,-5871.656,2048000,-5874.622
2049000,-5873.837,2049000,-5875.467
2050000,-5871.659,2050000,-5874.754
2051000,-5876.326,2051000,-5873.34
2052000,-5874.463,2052000,-5872.01
2053000,-5871.703,2053000,-5872.299
2054000,-5872.045,2054000,-5872.809
2055000,-5873.945,2055000,-5870.459
2056000,-5881.108,2056000,-5874.34
2057000,-5878.121,2057000,-5876.247
2058000,-5873.439,2058000,-5880.236
2059000,-5877.652,2059000,-5882.946
2060000,-5877.126,2060000,-5873.066
2061000,-5883.337,2061000,-5873.399
2062000,-5876.643,2062000,-5873.441
2063000,-5870.763,2063000,-5880.385
2064000,-5880.479,2064000,-5879.306
2065000,-5879.951,2065000,-5880.91
2066000,-5872.261,2066000,-5885.235
2067000,-5876.937,2067000,-5871.71
2068000,-5877.63,2068000,-5877.274
2069000,-5876.884,2069000,-5870.496
2070000,-5874.929,2070000,-5873.377
2071000,-5871.27,2071000,-5873.663
2072000,-5877.003,2072000,-5877.854
2073000,-5876.542,2073000,-5872.926
2074000,-5874.775,2074000,-5875.172
2075000,-5877.191,2075000,-5878.839
2076000,-5872.811,2076000,-5873.347
2077000,-5873.008,2077000,-5869.826
2078000,-5875.569,2078000,-5870.984
2079000,-5877.402,2079000,-5871.825
2080000,-5879.34,2080000,-5875.934
2081000,-5871.431,2081000,-5876.759
2082000,-5875.933,2082000,-5873.824
2083000,-5874.125,2083000,-5868.945
2084000,-5876.119,2084000,-5874.931
2085000,-5870.659,2085000,-5877.717
2086000,-5872.278,2086000,-5872.223
2087000,-5873.374,2087000,-5873.587
2088000,-5879.002,2088000,-5875.826
2089000,-5871.049,2089000,-5875.142
2090000,-5879.355,2090000,-5876.626
2091000,-5873.663,2091000,-5872.611
2092000,-5886.72,2092000,-5874.055
2093000,-5875.748,2093000,-5878.957
2094000,-5876.824,2094000,-5871.342
2095000,-5874.865,2095000,-5875.145
2096000,-5872.929,2096000,-5871.506
2097000,-5871.387,2097000,-5877.532
2098000,-5877.855,2098000,-5874.943
2099000,-5872.321,2099000,-5876.787
2100000,-5877.851,2100000,-5872.475
2101000,-5871.868,2101000,-5871.105
2102000,-5874.233,2102000,-5871.309
2103000,-5874.128,2103000,-5872.266
2104000,-5876.498,2104000,-5872.108
2105000,-5884.192,2105000,-5873.005
2106000,-5869.969,2106000,-5874.703
2107000,-5870.633,2107000,-5875.232
2108000,-5873.315,2108000,-5873.433
2109000,-5873.41,2109000,-5876.478
2110000,-5879.176,2110000,-5872.086
2111000,-5878.383,2111000,-5872.022
2112000,-5870.847,2112000,-5874.064
2113000,-5873.909,2113000,-5876.489
2114000,-5871.051,2114000,-5871.459
2115000,-5879.887,2115000,-5876.542
2116000,-5880.305,2116000,-5872.569
2117000,-5877.734,2117000,-5871.525
2118000,-5870.683,2118000,-5877.183
2119000,-5873.774,2119000,-5875.677
2120000,-5872.298,2120000,-5872.577
2121000,-5878.65,2121000,-5873.841
2122000,-5882.108,2122000,-5872.065
2123000,-5874.151,2123000,-5875.006
2124000,-5878.163,2124000,-5870.696
2125000,-5873.452,2125000,-5871.236
2126000,-5872.215,2126000,-5875.803
2127000,-5872.198,2127000,-5874.957
2128000,-5874.751,2128000,-5875.151
2129000,-5874.051,2129000,-5877.232
2130000,-5873.485,2130000,-5880.356
2131000,-5874.523,2131000,-5874.429
2132000,-5877.962,2132000,-5874.694
2133000,-5878.19,2133000,-5881.687
2134000,-5885.75,2134000,-5875.228
2135000,-5873.329,2135000,-5886.558
2136000,-5870.122,2136000,-5875.999
2137000,-5877.51,2137000,-5879.844
2138000,-5871.226,2138000,-5870.391
2139000,-5872.253,2139000,-5875.361
2140000,-5873.799,2140000,-5878.98
2141000,-5874.465,2141000,-5880.884
2142000,-5871.184,2142000,-5871.579
2143000,-5872.313,2143000,-5873.505
2144000,-5869.644,2144000,-5878.348
2145000,-5871.181,2145000,-5877.741
2146000,-5874.773,2146000,-5873.962
2147000,-5875.347,2147000,-5875.364
2148000,-5883.029,2148000,-5870.978
2149000,-5869.417,2149000,-5877.896
2150000,-5873.826,2150000,-5876.296
2151000,-5882.965,2151000,-5869.178
2152000,-5875.713,2152000,-5882.022
2153000,-5879.049,2153000,-5877.711
2154000,-5873.171,2154000,-5871.716
2155000,-5877.639,2155000,-5880.019
2156000,-5885.11,2156000,-5871.82
2157000,-5877.179,2157000,-5871.423
2158000,-5875.686,2158000,-5873.893
2159000,-5878.778,2159000,-5874.883
2160000,-5873.537,2160000,-5878.815
2161000,-5880.604,2161000,-5875.173
2162000,-5880.949,2162000,-5881.785
2163000,-5872.221,2163000,-5873.014
2164000,-5872.616,2164000,-5875.234
2165000,-5879.811,2165000,-5878.57
2166000,-5870.099,2166000,-5873.89
2167000,-5875.724,2167000,-5872.803
2168000,-5875.942,2168000,-5874.155
