Genepop 4.7.5, Genotypic linkage disequilibrium

File: C:/Users/s1000334/Documents/CBC_tuts/Tutorial_4/Data/Neochetina_b_writeGenPop.txt (Neochetina_b object converted using the writeGenPop function )

Number of populations detected : 8
Number of loci detected        : 8

Markov chain parameters
	Dememorisation       : 10000
	Batches              : 100
	Iterations per batch : 5000

Pop             Locus#1  Locus#2    P-Value      S.E.     Switches
----------      -------  -------    --------     -------- --------
NBAU22          NB40     NB46       0.056464     0.001374    63827
NBAU22          NB40     NB27       0.388722     0.002904   163592
NBAU22          NB46     NB27       0.864900     0.001287   133282
NBAU22          NB40     NB5        0.267030     0.003239    99756
NBAU22          NB46     NB5        0.126636     0.002022    66919
NBAU22          NB27     NB5        0.230142     0.001837   185186
NBAU22          NB40     NB43       1.000000     0.000000    62196
NBAU22          NB46     NB43       1.000000     0.000000    32190
NBAU22          NB27     NB43       0.522850     0.001445   126835
NBAU22          NB5      NB43       1.000000     0.000000    55168
NBAU22          NB40     NB8        0.428888     0.008517    40320
NBAU22          NB46     NB8        0.452050     0.007843    33447
NBAU22          NB27     NB8        0.781770     0.003115    99603
NBAU22          NB5      NB8        0.271532     0.004891    53753
NBAU22          NB43     NB8        0.426586     0.004551    30792
NBAU22          NB40     NB26       0.321588     0.006555    46583
NBAU22          NB46     NB26       0.835718     0.003825    38775
NBAU22          NB27     NB26       0.201090     0.003202   108980
NBAU22          NB5      NB26       0.041506     0.001673    61907
NBAU22          NB43     NB26       0.188900     0.002650    37378
NBAU22          NB8      NB26       0.088850     0.005301    23474
NBAU22          NB40     NB13       0.079584     0.002003   128659
NBAU22          NB46     NB13       0.641830     0.002378    96336
NBAU22          NB27     NB13       0.528932     0.001966   212323
NBAU22          NB5      NB13       0.174638     0.001921   139857
NBAU22          NB43     NB13       1.000000     0.000000    87521
NBAU22          NB8      NB13       0.615312     0.004567    76902
NBAU22          NB26     NB13       0.799680     0.002928    86652
NBRDH6          NB40     NB46       0.163088     0.006462    28931
NBRDH6          NB40     NB27       0.321944     0.003069   138233
NBRDH6          NB46     NB27       1.000000     0.000000   110695
NBRDH6          NB40     NB5        0.376172     0.004536    95582
NBRDH6          NB46     NB5        0.608050     0.004449    70686
NBRDH6          NB27     NB5        0.957648     0.000571   233261
NBRDH6          NB40     NB43       0.108684     0.002775    40255
NBRDH6          NB46     NB43       0.359368     0.005262    27847
NBRDH6          NB27     NB43       0.166176     0.001771   143299
NBRDH6          NB5      NB43       0.388106     0.002897    85843
NBRDH6          NB40     NB8        0.387376     0.013546    21037
NBRDH6          NB46     NB8        0.910456     0.005297    17102
NBRDH6          NB27     NB8        0.868074     0.002535    93968
