"","X491.15","X479.94","X472.3","X470.3","X468.46","X466.67","X460.65","X459.6","X458.45","X456.49","X454.38","X452.5","X450.75","X448.62","X445.49","X444.41","X442.76","X438.2","X437","X435.1","X434.02","X428.47","X427.19","X423.79","X419.98","X418.85","X416.66","X414.62","X412.49","X411.5","X410.23","X409.34","X408.24","X407.31","X406.1","X405.27","X402.21","X399.97","X398.06","X396.11","X394.42","X392.55","X385.7","X384.62","X383.53","X382.65","X381.66","X379.76","X378.08","X377","X376.05","X374.03","X370.85","X369.73","X362.45","X358.55","X347.4","X346.25","X340.15","X339.18","X337.18","X334.1","X331.97","X331.02","X329.99","X329.06","X327.74","X325.82","X324.05","X317.59","X316.52","X315.4","X314.42","X313.37","X312.28","X311.23","X310.16","X309.19","X308.06","X306.97","X305.96","X303.79","X299.58","X296.62","X284.48","X283.6","X275.91","X274.8","X273.86","X272.91","X271.94","X270.05","X269.06","X268.14","X267.24","X266.1","X265.2","X264.38","X262.54","X258.66","X257.4","X256.64","X256","X254.89","X253.8","X252","X245.75","X238.25","X236.43","X234.47","X232.22","X231.42","X230.36","X229.24","X226","X223.01","X220.87","X219.73","X218.6","X204.48","X201.95","X200.36","X191.2","X188.27","X177.74","X175.75","X173.68","X171.5","X170.28","X167.49","X163.48","X161.17","X159.52","X158.18","X156.1","X154.3","X153.55","X153.3","X152.68","X151.64","X150.15","X148.78","X147","X146.27","X144.4","X141.6","X139.86","X137.6","X132.9","X131.77","X130.41","X127.25","X124.99","X120.03","X112.39","X110.6","X109.87","X108.16","X106.78","X104.6","X103.75","X103.17","X102.5","X100.37"
"Ah2_I_826_ISSR826___21+Ah2_II_826_ISSR826___19","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","?","0","0","?","0","0","?","1","0","0","0","0","0","?","?","?","1","0","1","1","1","1","0","0","1","0","1","1","0","0","0","0","?","1","0","0","0","0","0","0","0","0","0","0","1","?","0","0","0","1","0","?","?","1","1","?","?","?","1","0","0","0","1","1","0","0","1","?","?","?","?","?","?","1","?","1","0","1","0","1","0","?","0","1","0","1","0","1","0","1","0","1","?","1","?","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","?","0","0","0","0","0","0","0","?","0","1","0","0","1"
"Ah4_I_826_ISSR826___24+Ah4_II_826_ISSR826___22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","?","0","?","0","0","0","0","?","0","0","0","0","0","?","0","0","1","0","1","1","1","1","0","?","1","0","1","?","0","0","0","?","?","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","?","1","?","1","0","1","0","0","0","1","1","0","0","0","1","0","1","0","0","?","1","0","1","0","?","0","?","0","?","0","1","0","1","0","1","0","0","0","1","?","0","0","1","1","0","0","0","0","?","0","0","1","1","?","0","0","0","0","0","1","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1"
"Al2_I_826_ISSR826___03+Al2_II_826_ISSR826___01","0","?","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","?","0","0","0","0","?","0","?","0","1","0","1","0","?","1","0","0","1","0","1","1","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","1","1","?","1","0","1","0","0","0","1","1","0","0","?","?","?","?","?","?","?","1","?","1","0","?","0","?","0","?","0","1","0","1","0","?","0","0","0","1","1","?","0","1","1","0","0","0","0","?","0","0","1","1","?","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","1"
"Al3_I_826_ISSR826___06+Al3_II_826_ISSR826___04","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","?","?","0","0","0","1","0","?","0","?","0","?","?","?","1","?","1","1","1","1","0","?","?","?","1","1","0","0","0","1","0","0","0","0","?","0","0","0","0","0","0","0","?","0","0","0","0","1","?","0","1","1","1","0","1","0","1","0","0","0","1","1","0","0","1","1","0","1","0","0","?","1","?","1","0","1","0","1","0","?","0","1","0","1","0","?","0","?","0","1","?","1","0","1","1","0","0","0","0","?","0","?","1","1","1","0","0","0","0","0","?","?","0","0","0","0","0","0","?","?","0","0","?","0","1","0","0","1","0","0","0","?","0","0","0","0","0","0","0","0","0","?"
"H1_I_826_ISSR826___15+H1_II_826_ISSR826___13","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","?","?","0","?","0","?","?","0","0","0","1","0","0","0","?","0","?","?","0","1","?","1","1","1","1","0","0","1","0","1","1","0","0","0","1","?","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","1","?","0","?","?","1","1","?","?","1","0","?","0","1","1","0","0","1","1","0","1","0","0","1","1","1","1","0","1","0","1","0","1","0","1","0","1","0","?","?","1","0","1","1","?","0","1","1","0","0","0","0","1","0","?","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","?","0","0","0","1","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"H4_I_826_ISSR826___18+H4_II_826_ISSR826___16","0","?","0","0","0","0","0","0","?","0","0","0","0","0","0","0","?","0","?","?","0","0","?","0","0","0","0","?","0","0","0","0","0","?","0","0","1","0","1","1","1","?","0","0","1","0","1","1","0","0","0","?","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","?","?","1","?","1","0","1","0","0","0","?","1","0","0","0","1","0","1","0","0","?","1","?","1","0","1","0","1","0","1","0","1","0","1","0","?","?","?","0","1","?","?","0","1","1","0","0","0","0","?","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","?"
"JC2_I_826_ISSR826___09+JC2_II_826_ISSR826___07","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","?","0","0","0","0","0","0","?","?","?","?","?","0","?","?","?","1","0","?","0","1","1","0","?","1","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","1","0","?","?","1","1","0","1","0","1","0","?","0","1","1","0","0","1","1","0","1","0","0","1","1","1","1","0","1","0","1","0","1","0","1","0","1","0","?","0","?","0","1","1","?","?","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"JC3_I_826_ISSR826___12+JC3_II_826_ISSR826___10","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","?","?","0","1","?","1","1","1","1","0","0","1","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","1","0","0","1","0","1","?","1","0","1","0","0","0","1","1","0","0","?","1","0","1","0","0","?","1","?","1","0","1","0","1","0","1","0","1","0","1","0","?","0","?","0","1","1","?","0","1","1","0","0","0","0","?","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","?","0","0","1"
"KP_BCC_S1_ISSR826_R1_ISSR_826__03+KP_BCC_S1_ISSR826_R2_ISSR_826__05","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","?","?","?","0","?","0","0","0","1","0","1","?","1","?","1","1","0","0","1","0","1","1","0","0","0","?","1","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","?","0","1","1","1","0","1","0","?","0","0","0","1","?","0","0","1","1","0","1","0","0","1","1","?","?","0","?","0","1","0","0","0","?","0","1","0","0","0","?","0","1","1","?","0","1","1","0","0","0","0","0","0","0","?","1","?","0","0","0","0","0","0","0","0","0","?","0","?","0","0","0","0","0","0","0","0","0","0","?","0","0","0","1","0","0","0","0","?","0","1","0","?","?"
"KP_BCC_S2_ISSR826_R1_ISSR_826__06+KP_BCC_S2_ISSR826_R2_ISSR_826__08","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","?","1","1","0","?","0","0","?","1","0","1","?","1","1","1","1","1","?","1","?","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","1","0","1","?","1","0","1","0","0","0","?","0","0","0","?","1","0","1","0","0","0","1","0","0","0","1","0","?","0","0","0","?","0","0","0","0","0","?","0","1","?","?","0","1","1","0","0","0","0","0","0","0","?","1","?","0","0","0","0","0","0","0","0","0","0","0","?","?","0","0","0","0","0","0","0","0","0","0","0","0","0","?","?","0","?","0","?","0","?","0","?","?"
