Allele Report
Software Package: SoftGenetics GeneMarker 2.7.4
Date/Time: 09/16/2020 - 21:06:07

Project: 
Panel: 
Size: GS500
Analysis Type: AFLP


Report Style: Peak Table

	Sample	Allele	Marker	Dye	Size	Height	Ht_Ratio	Area	Ar_Ratio	Quality	Score	Allele Comments	Difference	Start	End	Sample Comments	Marker Comments	Quality Reasons	
1	Ah2_I_826_ISSR826___21.fsa			Blue	36.1	5541		201308		Unknown	445.9		1.00	35.4	36.7				
2	Ah2_I_826_ISSR826___21.fsa			Blue	38.0	767		18833		Unknown	6.0		1.00	37.7	38.3			LS	
3	Ah2_I_826_ISSR826___21.fsa			Blue	40.4	1157		84262		Unknown	8.9		1.00	39.2	41.5				
4	Ah2_I_826_ISSR826___21.fsa			Blue	41.9	593		17399		Unknown	1.2		1.00	41.6	42.3			LS	
5	Ah2_I_826_ISSR826___21.fsa			Blue	46.4	545		18094		Unknown	5.1		1.00	46.1	47.0			LS	
6	Ah2_I_826_ISSR826___21.fsa			Blue	47.5	441		13482		Unknown	5.4		1.00	47.1	47.9			LS	
7	Ah2_I_826_ISSR826___21.fsa			Blue	49.7	375		14902		Unknown	2.3		1.00	49.0	50.0			LS	
8	Ah2_I_826_ISSR826___21.fsa			Blue	54.0	1380		78210		Unknown	22.5		1.00	53.0	54.9				
9	Ah2_I_826_ISSR826___21.fsa			Blue	57.5	2636		167710		Unknown	67.8		1.00	56.4	58.6				
10	Ah2_I_826_ISSR826___21.fsa			Blue	63.2	242		7162		Unknown	2.2		1.00	62.9	63.6			LS	
11	Ah2_I_826_ISSR826___21.fsa			Blue	64.7	778		18674		Unknown	69.2		1.00	64.4	65.1				
12	Ah2_I_826_ISSR826___21.fsa			Blue	73.7	470		26043		Unknown	6.1		1.00	73.2	74.7			LS	
13	Ah2_I_826_ISSR826___21.fsa			Blue	77.8	928		113663		Unknown	14.1		1.00	76.7	80.4				
14	Ah2_I_826_ISSR826___21.fsa			Blue	84.1	846		65597		Unknown	5.6		1.00	83.3	85.4			LS	
15	Ah2_I_826_ISSR826___21.fsa			Blue	88.6	15982		799172		Unknown	500.0		1.00	88.1	89.2				
16	Ah2_I_826_ISSR826___21.fsa			Blue	90.1	16064		868545		Unknown	500.0		1.00	89.5	90.7				
17	Ah2_I_826_ISSR826___21.fsa			Blue	93.4	366		20832		Unknown	3.0		1.00	92.9	94.2			LS	
18	Ah2_I_826_ISSR826___21.fsa			Blue	100.8	422		30430		Unknown	2.1		1.00	100.0	101.8			LS	
19	Ah2_I_826_ISSR826___21.fsa			Blue	104.0	157		7605		Unknown	1.7		1.00	103.2	104.3			LS	
20	Ah2_I_826_ISSR826___21.fsa			Blue	159.6	1567		202547		Unknown	14.0		1.00	158.1	161.0				
21	Ah2_I_826_ISSR826___21.fsa			Blue	165.9	105		3475		Unknown	4.5		1.00	165.5	166.2			LS	
22	Ah2_I_826_ISSR826___21.fsa			Blue	173.9	79		2962		Unknown	2.2		1.00	173.5	174.2			LS	
23	Ah2_I_826_ISSR826___21.fsa			Blue	175.9	183		7085		Unknown	10.7		1.00	175.5	176.3				
24	Ah2_I_826_ISSR826___21.fsa			Blue	177.9	128		4355		Unknown	6.9		1.00	177.5	178.2			LS	
25	Ah2_I_826_ISSR826___21.fsa			Blue	179.7	80		2856		Unknown	2.7		1.00	179.4	180.1			LS	
26	Ah2_I_826_ISSR826___21.fsa			Blue	221.0	96		3995		Unknown	4.0		1.00	220.7	221.4			LS	
27	Ah2_I_826_ISSR826___21.fsa			Blue	223.2	94		4403		Unknown	3.2		1.00	222.8	223.5			LS	
28	Ah2_I_826_ISSR826___21.fsa			Blue	225.1	60		2708		Unknown	1.6		1.00	224.7	225.4			LS	
29	Ah2_I_826_ISSR826___21.fsa			Blue	228.3	60		2642		Unknown	1.7		1.00	227.9	228.7			LS	
30	Ah2_I_826_ISSR826___21.fsa			Blue	229.4	71		3467		Unknown	2.0		1.00	228.9	229.8			LS	
31	Ah2_I_826_ISSR826___21.fsa			Blue	230.5	92		4671		Unknown	2.9		1.00	230.1	230.9			LS	
32	Ah2_I_826_ISSR826___21.fsa			Blue	231.6	232		11073		Unknown	17.2		1.00	231.2	231.9				
33	Ah2_I_826_ISSR826___21.fsa			Blue	234.6	79		4936		Unknown	1.5		1.00	234.1	235.0			LS	
34	Ah2_I_826_ISSR826___21.fsa			Blue	238.4	66		3880		Unknown	1.1		1.00	238.1	239.0			LS	
