		NB40		NB46		NB27		NB5		NB43		NB8		NB26		NB13	
NBAU1	1	203	206	241	241	207	207	239	242	199	199	278	278	214	214	233	233
NBAU2	1	203	206	238	238	201	207	239	242	199	199	275	275	214	214	233	233
NBAU3	1	206	206	241	244	201	207	239	239	199	199	275	278	214	217	233	233
NBAU4	1	206	206	238	238	201	207	239	239	199	199	278	278	214	217	233	233
NBAU5	1	200	203	238	238	201	207	239	239	199	199	278	278	208	217	227	233
NBAU6	1	200	206	238	238	201	207	239	251	199	199	278	281	214	217	227	233
NBAU7	1	200	200	238	238	201	201	239	239	199	199	278	278	217	217	233	233
NBAU8	1	200	200	238	238	201	207	239	239	199	199	278	278	208	208	233	233
NBAU9	1	200	203	238	238	207	207	239	242	199	199	278	278	214	214	233	233
NBAU10	1	200	203	238	238	201	201	239	239	199	199	278	278	217	217	233	236
NBAU11	1	200	203	238	238	201	201	239	239	199	208	278	284	211	217	233	233
NBAU12	1	203	206	241	241	201	207	239	251	199	199	278	284	217	217	233	233
NBAU13	1	200	203	238	238	207	207	239	239	199	199	278	281	214	217	233	236
NBAU14	1	203	203	238	238	201	207	239	239	199	199	281	284	211	214	233	233
NBAU15	1	200	203	238	238	201	201	239	239	199	199	278	278	208	217	233	233
NBAU16	1	200	206	238	238	201	207	239	239	199	199	275	278	214	217	233	236
NBAU18	1	203	203	238	238	201	201	239	239	199	199	278	278	208	217	233	236
NBAU19	1	200	206	238	238	207	207	239	239	199	199	275	290	217	217	233	236
NBAU20	1	203	206	238	238	207	207	239	239	199	199	278	278	208	214	233	233
NBAU21	1	203	203	238	238	201	207	239	239	199	199	278	278	217	217	233	236
NBAU22	1	203	203	238	238	201	201	239	239	199	199	278	278	208	217	233	236
NBMay4	2	203	206	238	238	207	207	239	248	199	199	272	278	214	214	233	233
NBMay5	2	203	203	232	238	201	207	239	239	199	208	272	275	214	217	233	233
NBMO2	2	200	200	238	238	201	201	239	242	205	205	278	293	217	217	233	233
NBMO5	2	203	203	232	241	201	207	239	239	199	199	272	272	211	214	233	239
NBMO6	2	203	203	238	238	201	207	239	239	199	199	269	278	214	217	227	233
NBMO7	2	200	203	238	238	201	201	239	239	199	199	275	275	217	217	233	236
NBMO8	2	203	203	232	241	201	201	239	242	199	199	272	278	217	217	233	233
NBMO9	2	203	203	232	241	207	207	239	239	199	199	272	293	214	214	233	233
NBMO10	2	200	203	238	238	207	207	239	242	199	199	272	275	214	217	233	233
